master_id,scheme_name,source,ministry,department,implementing_agency,normalized_record_kind,record_kind,programme_status,application_status,status_evidence,sector,scheme_type,target_beneficiaries,startup_stage,catalogue_inclusion,catalogue_section,current_decision,official_page_url,application_url,guideline_urls,opening_date,closing_date,funding_minimum,funding_maximum,currency,eligibility,benefits,application_process,required_documents,contact_details,last_verified_date,field_evidence,primary_sector,secondary_sectors,sector_confidence,sector_classification_method,sector_evidence,sector_review_required,sector_verified_at,sector_agent_version
2fcf4cfd53ae3826cf8c,Bio-AI / BioE3 Mulankur Hubs,BIRAC,,,,APPLICATION_CALL,,CALL_INFORMATION_CURRENT,OPEN,,Cross-sector MSME & Startup Finance; Cross-sector Innovation & Entrepreneurship,,,,INCLUDED,CURRENT_OPPORTUNITIES,APPROVED_FOR_DATABASE,https://birac.nic.in/desc_new.php?id=1334,https://birac.nic.in/login.php,,,,,,,,,,,,,,Cross-sector MSME & Startup Finance,Cross-sector Innovation & Entrepreneurship,0.970,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,"broad finance evidence: fund of funds, seed fund",false,2026-07-10T15:34:15+00:00,3.4.0.6b
4dffaf1021d344e091ab,Startup India Seed Fund Scheme (SISFS),Startup India,,,,SCHEME_OR_PROGRAMME,,SCHEME_INFORMATION_AVAILABLE,CLOSED,,Cross-sector MSME & Startup Finance,,,,INCLUDED,SCHEMES_AND_PROGRAMMES,,https://seedfund.startupindia.gov.in/,,,,,,,,,,,,,,,Cross-sector MSME & Startup Finance,,0.970,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,broad finance evidence: seed fund; preserved existing controlled sector,false,2026-07-10T15:34:16+00:00,3.4.0.6b
c684dceb539277134b92,Credit Guarantee Scheme for Startups (CGSS),Startup India,,,,SCHEME_OR_PROGRAMME,,SCHEME_INFORMATION_AVAILABLE,APPLY_THROUGH_MEMBER_INSTITUTION,,Cross-sector MSME & Startup Finance; Cross-sector Innovation & Entrepreneurship,,,,INCLUDED,SCHEMES_AND_PROGRAMMES,,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,,,,,,,,,,,,,,,Cross-sector MSME & Startup Finance,Cross-sector Innovation & Entrepreneurship,0.970,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,"broad finance evidence: credit guarantee, fund of funds, seed fund, working capital; preserved existing controlled sector",false,2026-07-10T15:34:16+00:00,3.4.0.6b
f60669191ee8384cbb3f,Grand Challenges India (GCI),BIRAC,,,,APPLICATION_CALL,,CALL_INFORMATION_CURRENT,OPEN,,Cross-sector MSME & Startup Finance; Cross-sector Innovation & Entrepreneurship,,,,INCLUDED,CURRENT_OPPORTUNITIES,,https://birac.nic.in/desc_new.php?id=1327,https://birac.nic.in/login.php,,,,,,,,,,,,,,Cross-sector MSME & Startup Finance,Cross-sector Innovation & Entrepreneurship,0.970,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,"broad finance evidence: fund of funds, seed fund",false,2026-07-10T15:34:18+00:00,3.4.0.6b
b1_d609e0f5ca82fb6e6416,Schemes,Ministry of MSME - Schemes,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",MSME Ministry,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Scheme Or Programme,Not specified on the verified official source,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://www.msme.gov.in/schemes,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.msme.gov.in/schemes"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.680,EVIDENCE_RULES,preserved existing controlled sector,true,2026-07-10T15:34:18+00:00,3.4.0.6b
b1_a02a958be1d45a9fabaa,Startup India Fund Of Funds 2.0 Scheme.Pdf,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,FUND,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector MSME & Startup Finance,Fund,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector MSME & Startup Finance,,0.970,EVIDENCE_RULES,broad finance evidence: fund of funds; preserved existing controlled sector,false,2026-07-10T15:34:19+00:00,3.4.0.6b
b1_1692cd16d54709c21f57,Startup Schemes Playbook June 2026.Pdf,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Scheme Or Programme,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://www.startupindia.gov.in/content/dam/startupindia/homebanners/Startup-Schemes-Playbook-June-2026.pdf,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.startupindia.gov.in/content/dam/startupindia/homebanners/Startup-Schemes-Playbook-June-2026.pdf"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.680,EVIDENCE_RULES,preserved existing controlled sector,true,2026-07-10T15:34:20+00:00,3.4.0.6b
b1_0ef15a88db817bcdd2b9,Sitemap.Xml,myScheme - National Scheme Discovery Platform,Ministry of Electronics and Information Technology,Digital India Corporation,myScheme,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Scheme Or Programme,Not specified on the verified official source,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://www.myscheme.gov.in/sitemap.xml,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.myscheme.gov.in/sitemap.xml"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.730,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,preserved existing controlled sector,false,2026-07-10T15:34:20+00:00,3.4.0.6b
b1_bcfa2541b23572c907ee,Schemes.Aspx,Office of Development Commissioner MSME - Schemes,"Ministry of Micro, Small and Medium Enterprises",Office of Development Commissioner (MSME),DC MSME,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Scheme Or Programme,Not specified on the verified official source,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://dcmsme.gov.in/schemes.aspx,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://dcmsme.gov.in/schemes.aspx"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.730,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,preserved existing controlled sector,false,2026-07-10T15:34:21+00:00,3.4.0.6b
b1_0d0b5796ed528f890f2d,Sitemap.Xml,MSME Champions Portal,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",MSME Champions,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://champions.gov.in/sitemap.xml,Not specified on the verified official source,https://champions.gov.in/mailor/SopDraft.htm,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://champions.gov.in/sitemap.xml"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.730,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,preserved existing controlled sector,false,2026-07-10T15:34:22+00:00,3.4.0.6b
